symbol,Points,Weight,Cur.,Chg,Chg %,52WK High,52WK Low,Vol,Market Cap
,0.94,0.05,876.93,28.94,3.41%,1150,680,521,1522.55 Cr
AABS,,,,,,,,,
,,,,,,,,,
,1.2,0.58,893.82,3.1,0.35%,1304,790,8.55 K,8750.52 Cr
ABOT,,,,,,,,,
,,,,,,,,,
,-0.05,0.22,268.52,-0.11,-0.04%,333,225,9.43 K,3690.19 Cr
ACPL,,,,,,,,,
,,,,,,,,,
,0,0.01,79,0,0%,90.98,45.05,240,136.6 Cr
ADAMS,,,,,,,,,
,,,,,,,,,
,0.38,0.09,134.01,0.97,0.73%,198,89.03,35.71 K,482.44 Cr
AGIL,,,,,,,,,
,,,,,,,,,
,2.24,0.44,172.62,1.46,0.85%,258.67,142,2.03 Lac,4833.36 Cr
AGP,,,,,,,,,
,,,,,,,,,
,0.04,0.04,320.66,0.66,0.21%,504.96,288,7.77 K,1858.68 Cr
AGTL,,,,,,,,,
,,,,,,,,,
,0,0,73.17,0,0%,134.15,48.6,454,61.99 Cr
AHTM,,,,,,,,,
,,,,,,,,,
,1.54,0.45,125.29,0.71,0.57%,199,116.5,6.68 Lac,4952.33 Cr
AIRLINK,,,,,,,,,
,,,,,,,,,
,-0.25,0,138.5,-15.29,-9.94%,232.89,119.73,16.46 K,34.73 Cr
AKDHL,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
AKGL,,,,,,,,,
,,,,,,,,,
,-0.09,0.02,119,-0.98,-0.82%,140.72,65,5.01 K,243.64 Cr
ALNRS,,,,,,,,,
,,,,,,,,,
,0.13,0.07,8.97,0.03,0.34%,13.7,6.4,1.57 Lac,435.41 Cr
ANL,,,,,,,,,
,,,,,,,,,
,0,0,23.06,0,0%,47.75,9.02,360,22.28 Cr
ANTM,,,,,,,,,
,,,,,,,,,
,1.44,0.4,522.85,3.19,0.61%,646,377.11,73.28 K,6505.09 Cr
APL,,,,,,,,,
,,,,,,,,,
,0.06,0,31.33,1.19,3.95%,46.8,17.1,3.15 K,41.28 Cr
ARCTM,,,,,,,,,
,,,,,,,,,
,0.83,0.09,345.22,5.22,1.54%,535,325,1.94 K,1193.2 Cr
ARPL,,,,,,,,,
,,,,,,,,,
,0.05,0,15.99,1,6.67%,32.99,11.12,781,74.46 Cr
ASHT,,,,,,,,,
,,,,,,,,,
,0,0.1,9.82,0,0%,15.94,8.51,11.2 Lac,914.03 Cr
ASL,,,,,,,,,
,,,,,,,,,
,0.19,0.05,188.22,1.16,0.62%,356,169.02,2.97 K,659.09 Cr
ATBA,,,,,,,,,
,,,,,,,,,
,-10.13,1.08,833,-13.26,-1.57%,949,410,7.05 Lac,8881.13 Cr
ATRL,,,,,,,,,
,,,,,,,,,
,0.08,0.14,29.99,0.03,0.10%,54.3,26.5,3.74 Lac,1282 Cr
AVN,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
AWTX,,,,,,,,,
,,,,,,,,,
,0.01,0.05,1007.44,0.22,0.02%,1798,888,169,761.62 Cr
BATA,,,,,,,,,
,,,,,,,,,
,-1.01,0.12,36.49,-0.54,-1.46%,57.35,34,1.55 Lac,1090.71 Cr
BBFL,,,,,,,,,
,,,,,,,,,
,-0.09,0.01,58.96,-0.83,-1.39%,130.44,56.02,3.36 K,67.64 Cr
BCL,,,,,,,,,
,,,,,,,,,
,-0.08,0.06,4.22,-0.01,-0.24%,73.6,3.9,13.1 Lac,527.34 Cr
BECO,,,,,,,,,
,,,,,,,,,
,-0.09,0.03,86.61,-0.51,-0.59%,129.15,73.55,3.62 K,212.64 Cr
BERG,,,,,,,,,
,,,,,,,,,
,0.15,0.08,32.08,0.11,0.34%,49.25,23.55,66.7 K,994.45 Cr
BFAGRO,,,,,,,,,
,,,,,,,,,
,-0.62,0.11,130.39,-1.3,-0.99%,194.9,117,1.11 Lac,1151.78 Cr
BFBIO,,,,,,,,,
,,,,,,,,,
,0.07,0,18.15,1.65,10%,38.84,6.22,2 Lac,13.64 Cr
BFMOD,,,,,,,,,
,,,,,,,,,
,0,0,765,0,0%,1194.18,665,7,232.63 Cr
BHAT,,,,,,,,,
,,,,,,,,,
,0.04,0.04,82.39,0.14,0.17%,207.1,79.1,81.01 K,382.15 Cr
BIFO,,,,,,,,,
,,,,,,,,,
,1.32,0.13,24.85,0.43,1.76%,44.1,17.5,4.91 Lac,2755.13 Cr
BIPL,,,,,,,,,
,,,,,,,,,
B,-0.24,0.02,5.82,-0.12,-2.02%,80.85,4.9,1.14 Lac,165.45 Cr
BLUEX,,,,,,,,,
,,,,,,,,,
,-0.07,0.09,7.78,-0.01,-0.13%,170.73,7.48,4.63 Lac,519.75 Cr
BNL,,,,,,,,,
,,,,,,,,,
,0.2,0.01,66.2,2.26,3.54%,112.4,25.51,12.25 K,62.93 Cr
BNWM,,,,,,,,,
,,,,,,,,,
,-0.1,0,21.76,-0.82,-3.63%,42.25,20.01,9.05 K,48.94 Cr
BPL,,,,,,,,,
,,,,,,,,,
,-1.32,0.06,39.41,-1.59,-3.88%,48.65,19.33,1.92 K,374.43 Cr
BRRG,,,,,,,,,
,,,,,,,,,
,0.13,0.02,810.17,7.47,0.93%,925.25,236.1,248,521.1 Cr
BTL,,,,,,,,,
,,,,,,,,,
,-0.03,0,162.08,-2.93,-1.78%,229.44,96,162,23.34 Cr
BUXL,,,,,,,,,
,,,,,,,,,
,0,0.04,177.03,0.03,0.02%,257.92,114.01,12.35 K,236.06 Cr
BWHL,,,,,,,,,
,,,,,,,,,
,0.14,0.01,40.91,0.74,1.84%,68.88,34.4,731,92.7 Cr
CCM,,,,,,,,,
,,,,,,,,,
