rank,symbol,price,chg,chg_pct,high_52w,low_52w,volume,weight,market_cap_cr,market_cap_raw
1,OGDC,275.34,-0.04,-0.01%,337.1,174.26,35.51 Lac,5.41,118421.76,118421.76 Cr
2,MEBL,481.16,2.89,0.60%,518.79,236.6,13.31 Lac,6.6,86635.49,86635.49 Cr
3,MARI,631.64,-2.36,-0.37%,795.0,539.13,6.58 Lac,4.62,75836.12,75836.12 Cr
4,FFC,492.26,3.04,0.62%,685.0,314.18,18.26 Lac,12.81,70837.36,70837.36 Cr
5,PPL,207.12,-0.53,-0.26%,284.6,128.56,48.51 Lac,4.23,56356.68,56356.68 Cr
6,LUCK,382.12,2.86,0.75%,1796.0,274.43,23.95 Lac,5.12,55980.58,55980.58 Cr
7,NESTLE,7554.63,-46.76,-0.62%,10524.97,6402.02,1.32 K,1.04,34259.93,34259.93 Cr
8,ENGROH,262.37,-0.47,-0.18%,302.5,139.0,14.19 Lac,7.7,31595.43,31595.43 Cr
9,FATIMA,126.23,-0.75,-0.59%,192.8,70.0,4.9 Lac,1.21,26508.3,26508.3 Cr
10,EFERT,194.71,-1.44,-0.73%,263.3,145.25,17.72 Lac,3.57,25999.61,25999.61 Cr
11,HUBC,198.7,0.28,0.14%,249.99,114.6,39.21 Lac,5.89,25774.46,25774.46 Cr
12,SYS,140.26,2.0,1.45%,577.0,100.0,20.29 Lac,3.78,20665.97,20665.97 Cr
13,KEL,6.99,-0.12,-1.69%,9.58,3.6,5.36 Cr,0.59,19303.02,19303.02 Cr
14,UPFL,24801.03,-154.59,-0.62%,36971.47,20898.0,52,0.36,15798.09,15798.09 Cr
15,PSO,336.32,-1.05,-0.31%,506.75,300.0,11.81 Lac,2.41,15789.33,15789.33 Cr
16,FABL,81.71,0.34,0.42%,105.49,40.05,9.09 Lac,1.13,12401.1,12401.1 Cr
17,ILP,75.09,0.59,0.79%,99.35,45.0,1.1 Lac,0.64,10525.44,10525.44 Cr
18,LCI,227.3,0.31,0.14%,1910.0,201.17,85.78 K,0.64,10496.61,10496.61 Cr
19,FCCL,42.57,0.02,0.05%,62.84,36.26,64.66 Lac,1.11,10441.77,10441.77 Cr
20,GLAXO,324.1,0.27,0.08%,481.0,293.09,2.74 Lac,0.63,10321.52,10321.52 Cr
21,MTL,497.2,-1.8,-0.36%,626.94,465.0,2.35 Lac,1.36,9919.93,9919.93 Cr
22,SAZEW,1628.59,-3.91,-0.24%,2487.0,1053.99,4.85 Lac,1.05,9844.17,9844.17 Cr
23,ATRL,833.0,-13.26,-1.57%,949.0,410.0,7.05 Lac,1.08,8881.13,8881.13 Cr
24,ABOT,893.82,3.1,0.35%,1304.0,790.0,8.55 K,0.58,8750.52,8750.52 Cr
25,RMPL,9041.83,111.58,1.25%,13565.64,8251.5,46,0.25,8351.4,8351.4 Cr
26,DCR,36.16,-0.04,-0.11%,41.8,22.98,2.87 Lac,0.61,8040.9,8040.9 Cr
27,MLCF,75.62,0.67,0.89%,132.99,59.25,43.75 Lac,1.09,7921.67,7921.67 Cr
28,HALEON,662.45,3.21,0.49%,1010.0,653.14,55.41 K,0.32,7754.28,7754.28 Cr
29,NATF,331.07,-1.55,-0.47%,439.0,203.01,74.55 K,0.59,7717.75,7717.75 Cr
30,KOHC,76.62,-1.49,-1.91%,567.99,74.0,12.81 Lac,0.54,7043.73,7043.73 Cr
31,DGKC,154.74,1.8,1.18%,275.75,116.5,33.35 Lac,1.03,6779.45,6779.45 Cr
32,APL,522.85,3.19,0.61%,646.0,377.11,73.28 K,0.4,6505.09,6505.09 Cr
33,IBFL,205.0,0.0,0%,380.0,176.55,44,0.1,6365.39,6365.39 Cr
34,PKGS,668.31,-2.55,-0.38%,855.0,435.0,43.88 K,0.55,5973.32,5973.32 Cr
35,FCEPL,74.71,0.89,1.21%,113.63,63.86,78.62 K,0.17,5727.24,5727.24 Cr
36,SNGP,88.52,-0.14,-0.16%,142.6,83.2,29.09 Lac,0.77,5614.09,5614.09 Cr
37,KTML,40.04,-0.47,-1.16%,305.0,37.02,59.37 K,0.33,5391.38,5391.38 Cr
38,AIRLINK,125.29,0.71,0.57%,199.0,116.5,6.68 Lac,0.45,4952.33,4952.33 Cr
